AYear	Semester	Marker	CourseCode	ExamCategory	ExamDate	ExamSitting	Recorder	RecordDate	RegNo	ExamScore	Checked	Status	Count	Comment														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/083	51	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/084	60	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/085	57	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/086	60	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/087	60	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/088	53	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/089	52	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/090	64	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/091	58	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/092	67	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/093	51	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/094	62	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/095	56	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	0210/54/BScN	66	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/097	60	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/098	73	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/099	66	1	1	0	.														
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
